model,horizon,RET,SR,MDD,Hit,Trades
GRU,2h,-0.071281,-0.017157,-0.171061,0.491667,190
GRU,4h,2.780027,0.520435,-0.029371,0.725000,242
GRU,6h,3.874070,0.599478,-0.030652,0.766667,148
LSTM,2h,-0.023538,-0.005665,-0.143035,0.511905,262
LSTM,4h,2.708835,0.503666,-0.029371,0.716667,242
LSTM,6h,3.921944,0.609620,-0.037530,0.754762,172
TCN,2h,-0.017604,-0.004237,-0.270464,0.486905,3
TCN,4h,-0.014469,-0.002402,-0.525113,0.501190,7
TCN,6h,-0.156829,-0.020816,-0.767682,0.508333,1
TRANS,2h,0.075178,0.018096,-0.286521,0.508333,11
TRANS,4h,2.144349,0.381051,-0.032604,0.669048,388
TRANS,6h,2.086444,0.288147,-0.062580,0.601190,256
